,Postalcode,Name,Huoneet,Keskivuokra - ARA-vuokra,Keskivuokra - Vapaarah. vanhat,Keskivuokra - Vapaarah. uudet,Kuukausivuokra - ARA-vuokra,Kuukausivuokra - Vapaarah. vanhat,Kuukausivuokra - Vapaarah. uudet,duration-w,duration-t,duration-d,duration-b
81,390,Konala,1h,16.1,22.9,24.2,601.0,654.0,673.0,1 hour 53 mins,53 mins,17 mins,35 mins
82,390,Konala,2h,14.9,17.2,18.0,752.0,814.0,852.0,1 hour 53 mins,53 mins,17 mins,35 mins
83,390,Konala,3h+,11.9,16.9,17.4,924.0,1235.0,1169.0,1 hour 53 mins,53 mins,17 mins,35 mins
84,400,Pohjois-Haaga,1h,20.1,24.4,25.0,565.0,637.0,645.0,1 hour 11 mins,21 mins,16 mins,23 mins
85,400,Pohjois-Haaga,2h,13.4,16.3,15.9,689.0,741.0,749.0,1 hour 11 mins,21 mins,16 mins,23 mins
86,400,Pohjois-Haaga,3h+,12.9,13.3,15.2,926.0,899.0,1007.0,1 hour 11 mins,21 mins,16 mins,23 mins
87,410,Malminkartano,1h,13.2,20.1,20.2,474.0,653.0,621.0,2 hours 1 min,47 mins,21 mins,37 mins
88,410,Malminkartano,2h,12.9,16.0,17.6,670.0,802.0,849.0,2 hours 1 min,47 mins,21 mins,37 mins
89,410,Malminkartano,3h+,11.6,13.4,14.2,911.0,1035.0,1073.0,2 hours 1 min,47 mins,21 mins,37 mins
90,550,Vallila,1h,15.9,19.8,23.9,370.0,612.0,688.0,12 mins,12 mins,7 mins,4 mins
91,550,Vallila,2h,12.9,16.4,18.2,553.0,791.0,834.0,12 mins,12 mins,7 mins,4 mins
92,550,Vallila,3h+,12.6,15.0,,962.0,1079.0,,12 mins,12 mins,7 mins,4 mins
93,420,Kannelmäki,1h,17.2,20.9,22.8,538.0,607.0,646.0,1 hour 48 mins,43 mins,20 mins,35 mins
94,420,Kannelmäki,2h,13.8,15.2,16.0,756.0,751.0,788.0,1 hour 48 mins,43 mins,20 mins,35 mins
95,420,Kannelmäki,3h+,13.0,14.1,16.0,994.0,1034.0,1134.0,1 hour 48 mins,43 mins,20 mins,35 mins
96,430,Maununneva,1h,12.6,19.7,22.4,377.0,644.0,721.0,1 hour 53 mins,48 mins,21 mins,36 mins
97,430,Maununneva,2h,11.4,17.4,16.8,745.0,760.0,797.0,1 hour 53 mins,48 mins,21 mins,36 mins
98,430,Maununneva,3h+,12.5,14.4,14.6,895.0,1095.0,1079.0,1 hour 53 mins,48 mins,21 mins,36 mins
99,440,Lassila,1h,14.3,22.0,23.5,434.0,680.0,676.0,1 hour 22 mins,27 mins,16 mins,26 mins
100,440,Lassila,2h,15.7,17.2,17.0,801.0,788.0,818.0,1 hour 22 mins,27 mins,16 mins,26 mins
101,440,Lassila,3h+,11.9,13.2,14.8,927.0,1072.0,1109.0,1 hour 22 mins,27 mins,16 mins,26 mins
102,500,Sörnäinen,1h,23.4,24.8,28.2,574.0,664.0,723.0,31 mins,16 mins,11 mins,10 mins
103,500,Sörnäinen,2h,21.1,18.4,18.6,987.0,794.0,875.0,31 mins,16 mins,11 mins,10 mins
104,500,Sörnäinen,3h+,16.2,16.0,,1291.0,1124.0,,31 mins,16 mins,11 mins,10 mins
105,510,Etu-Vallila - Alppila,1h,16.6,24.3,27.4,560.0,658.0,721.0,28 mins,19 mins,12 mins,10 mins
106,510,Etu-Vallila - Alppila,2h,16.2,17.2,19.5,803.0,766.0,843.0,28 mins,19 mins,12 mins,10 mins
107,510,Etu-Vallila - Alppila,3h+,14.9,16.8,10.4,1071.0,1151.0,733.0,28 mins,19 mins,12 mins,10 mins
108,520,Itä-Pasila,1h,16.7,23.8,28.9,495.0,655.0,719.0,19 mins,19 mins,12 mins,5 mins
109,520,Itä-Pasila,2h,14.8,16.8,17.9,806.0,745.0,837.0,19 mins,19 mins,12 mins,5 mins
110,520,Itä-Pasila,3h+,11.5,14.7,14.5,1009.0,1131.0,919.0,19 mins,19 mins,12 mins,5 mins
111,560,Toukola-Vanhakaupunki,1h,16.3,21.3,22.0,481.0,607.0,622.0,11 mins,7 mins,4 mins,4 mins
112,560,Toukola-Vanhakaupunki,2h,15.0,17.8,18.9,716.0,825.0,898.0,11 mins,7 mins,4 mins,4 mins
113,560,Toukola-Vanhakaupunki,3h+,13.1,16.6,18.6,1090.0,1197.0,1290.0,11 mins,7 mins,4 mins,4 mins
114,570,Kulosaari,1h,,24.4,24.5,,705.0,723.0,49 mins,33 mins,11 mins,15 mins
115,570,Kulosaari,2h,,19.5,21.0,,864.0,980.0,49 mins,33 mins,11 mins,15 mins
116,570,Kulosaari,3h+,,16.6,,,1272.0,,49 mins,33 mins,11 mins,15 mins
117,580,Verkkosaari,1h,17.3,18.3,19.4,503.0,551.0,607.0,22 mins,13 mins,5 mins,7 mins
118,580,Verkkosaari,2h,15.3,18.5,18.5,690.0,835.0,830.0,22 mins,13 mins,5 mins,7 mins
119,580,Verkkosaari,3h+,14.2,16.9,13.3,1204.0,1290.0,954.0,22 mins,13 mins,5 mins,7 mins
120,590,Kaitalahti,1h,,19.8,27.2,,662.0,807.0,1 hour 58 mins,53 mins,19 mins,36 mins
121,590,Kaitalahti,2h,18.9,16.2,20.4,899.0,739.0,901.0,1 hour 58 mins,53 mins,19 mins,36 mins
122,590,Kaitalahti,3h+,,14.6,16.9,,1123.0,1248.0,1 hour 58 mins,53 mins,19 mins,36 mins
123,600,Koskela-Helsinki,1h,15.9,16.8,20.0,395.0,536.0,618.0,27 mins,20 mins,6 mins,10 mins
124,600,Koskela-Helsinki,2h,11.6,14.2,15.3,515.0,734.0,895.0,27 mins,20 mins,6 mins,10 mins
125,600,Koskela-Helsinki,3h+,11.3,11.5,,810.0,845.0,,27 mins,20 mins,6 mins,10 mins
126,610,Käpylä,1h,19.0,17.1,19.0,618.0,560.0,582.0,17 mins,9 mins,5 mins,5 mins
127,610,Käpylä,2h,13.4,15.2,17.3,683.0,728.0,776.0,17 mins,9 mins,5 mins,5 mins
128,610,Käpylä,3h+,12.2,13.6,11.8,986.0,914.0,797.0,17 mins,9 mins,5 mins,5 mins
129,620,Metsälä-Etelä-Oulunkylä,1h,12.7,20.5,21.1,417.0,615.0,611.0,44 mins,18 mins,11 mins,14 mins
130,620,Metsälä-Etelä-Oulunkylä,2h,12.6,16.3,16.9,662.0,705.0,816.0,44 mins,18 mins,11 mins,14 mins
131,620,Metsälä-Etelä-Oulunkylä,3h+,,13.1,15.0,,990.0,843.0,44 mins,18 mins,11 mins,14 mins
