,Postalcode,Name,Huoneet,Keskivuokra - ARA-vuokra,Keskivuokra - Vapaarah. vanhat,Keskivuokra - Vapaarah. uudet,Kuukausivuokra - ARA-vuokra,Kuukausivuokra - Vapaarah. vanhat,Kuukausivuokra - Vapaarah. uudet,duration-w,duration-t,duration-d,duration-b
413,2710,Viherlaakso,2h,11.6,15.4,15.6,597.0,758.0,799.0,2 hours 54 mins,1 hour 18 mins,25 mins,54 mins
414,2710,Viherlaakso,3h+,11.2,14.4,15.4,852.0,1096.0,1191.0,2 hours 54 mins,1 hour 18 mins,25 mins,54 mins
415,2740,Karvasmäki-Kunnarla,1h,15.1,20.6,20.3,588.0,611.0,680.0,4 hours 36 mins,1 hour 22 mins,33 mins,1 hour 27 mins
416,2740,Karvasmäki-Kunnarla,2h,13.2,14.9,18.1,665.0,793.0,766.0,4 hours 36 mins,1 hour 22 mins,33 mins,1 hour 27 mins
417,2740,Karvasmäki-Kunnarla,3h+,11.4,11.7,12.6,945.0,998.0,1107.0,4 hours 36 mins,1 hour 22 mins,33 mins,1 hour 27 mins
418,2750,Sepänkylä,1h,15.8,22.0,21.2,536.0,703.0,645.0,3 hours 14 mins,Duration not available,26 mins,54 mins
419,2750,Sepänkylä,2h,13.9,15.7,17.6,668.0,811.0,904.0,3 hours 14 mins,Duration not available,26 mins,54 mins
420,2750,Sepänkylä,3h+,12.2,14.5,14.5,993.0,1155.0,1150.0,3 hours 14 mins,Duration not available,26 mins,54 mins
421,2760,Espoon Keskus Itäinen,1h,18.0,19.0,20.9,604.0,667.0,671.0,3 hours 52 mins,1 hour 5 mins,25 mins,1 hour 9 mins
422,2760,Espoon Keskus Itäinen,2h,14.0,16.2,17.1,762.0,812.0,848.0,3 hours 52 mins,1 hour 5 mins,25 mins,1 hour 9 mins
423,2760,Espoon Keskus Itäinen,3h+,12.6,14.6,15.2,1021.0,1152.0,1192.0,3 hours 52 mins,1 hour 5 mins,25 mins,1 hour 9 mins
424,2770,Espoon Keskus Läntinen,1h,14.6,20.3,22.7,461.0,660.0,693.0,4 hours 5 mins,59 mins,27 mins,1 hour 20 mins
425,2770,Espoon Keskus Läntinen,2h,13.4,16.7,18.9,655.0,811.0,890.0,4 hours 5 mins,59 mins,27 mins,1 hour 20 mins
426,2770,Espoon Keskus Läntinen,3h+,12.2,13.9,16.6,944.0,1056.0,1185.0,4 hours 5 mins,59 mins,27 mins,1 hour 20 mins
427,2780,Kauklahti,1h,15.5,20.9,22.1,582.0,669.0,697.0,4 hours 53 mins,1 hour 21 mins,28 mins,1 hour 32 mins
428,2780,Kauklahti,2h,12.8,15.0,15.8,634.0,780.0,802.0,4 hours 53 mins,1 hour 21 mins,28 mins,1 hour 32 mins
429,2780,Kauklahti,3h+,11.6,13.3,13.6,935.0,1057.0,1064.0,4 hours 53 mins,1 hour 21 mins,28 mins,1 hour 32 mins
430,2810,Kumpyöli-Karhusuo,2h,,,,,,,4 hours 26 mins,1 hour 28 mins,26 mins,1 hour 22 mins
431,2810,Kumpyöli-Karhusuo,3h+,12.0,10.3,,955.0,1080.0,,4 hours 26 mins,1 hour 28 mins,26 mins,1 hour 22 mins
432,2820,Nupuri-Nuuksio,3h+,,,15.8,,,1188.0,5 hours 37 mins,1 hour 24 mins,37 mins,1 hour 43 mins
433,2920,Niipperi,1h,13.6,20.0,25.5,535.0,647.0,688.0,4 hours 6 mins,1 hour 25 mins,31 mins,1 hour 15 mins
434,2920,Niipperi,2h,13.1,,,684.0,,,4 hours 6 mins,1 hour 25 mins,31 mins,1 hour 15 mins
435,2920,Niipperi,3h+,12.0,13.9,,1055.0,1285.0,,4 hours 6 mins,1 hour 25 mins,31 mins,1 hour 15 mins
436,2940,Lippajärvi,1h,18.5,19.4,22.3,526.0,580.0,616.0,4 hours 27 mins,1 hour 35 mins,32 mins,1 hour 24 mins
437,2940,Lippajärvi,2h,13.4,15.6,17.4,649.0,726.0,756.0,4 hours 27 mins,1 hour 35 mins,32 mins,1 hour 24 mins
438,2940,Lippajärvi,3h+,12.5,14.0,14.7,994.0,1125.0,1120.0,4 hours 27 mins,1 hour 35 mins,32 mins,1 hour 24 mins
439,2970,Kalajärvi,2h,12.1,,,587.0,,,4 hours 53 mins,1 hour 26 mins,35 mins,1 hour 26 mins
440,2970,Kalajärvi,3h+,11.5,10.8,9.2,902.0,1123.0,970.0,4 hours 53 mins,1 hour 26 mins,35 mins,1 hour 26 mins
441,2980,Lakisto,1h,,19.0,,,458.0,,5 hours 15 mins,1 hour 35 mins,36 mins,1 hour 31 mins
